title|link|summary|parss_primesponsor|parss_cosponsors|parss_lastaction|parss_enacted|parss_passedhouse|parss_passedsenate|published|id
House Bill 683 Printer's Number 626|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=683&pn=626|An Act prohibiting the use of certain class B firefighting foams under certain circumstances; imposing powers and duties on the Pennsylvania Emergency Management Agency and the State Fire Commissioner; and imposing penalties....|Representative STURLA|MADDEN, McNEILL, SANCHEZ, GUENST, D. WILLIAMS, GALLOWAY, CONKLIN, BRENNAN and OTTEN|Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:29:22 GMT|20230HB683P626
House Bill 682 Printer's Number 625|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=682&pn=625|An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in budget and finance, further providing for Commonwealth portion of fines, etc....|Representative STURLA|MADDEN, SANCHEZ, HILL-EVANS and DEASY|Referred to JUDICIARY,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:29:05 GMT|20230HB682P625
House Bill 681 Printer's Number 624|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=681&pn=624|An Act amending the act of April 6, 1951 (P.L.69, No.20), known as The Landlord and Tenant Act of 1951, in tenement buildings and multiple dwelling premises, providing for lead testing requirements....|Representative STURLA|MADDEN, RABB, HANBIDGE, SCHLOSSBERG, CIRESI, SANCHEZ, CEPHAS, HILL-EVANS, GUENST, D. WILLIAMS, KINKEAD, OTTEN, CONKLIN, STRUZZI, INNAMORATO, PROBST, SCOTT, McNEILL and CEPEDA-FREYTIZ|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:28:48 GMT|20230HB681P624
House Bill 680 Printer's Number 623|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=680&pn=623|An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, in grants to fire companies and emergency medical services companies, further providing for definitions and for award of grants....|Representative STURLA|McNEILL, SIEGEL, MADDEN, GUENST, KENYATTA, SCHLOSSBERG, ROZZI, SANCHEZ, CIRESI, GALLOWAY, FREEMAN, HILL-EVANS, DEASY, DELLOSO, KAZEEM, MADSEN, STEELE, RABB, HARKINS, D. WILLIAMS, HOWARD and MALAGARI|Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:28:28 GMT|20230HB680P623
House Bill 679 Printer's Number 622|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=679&pn=622|An Act amending the act of August 24, 1951 (P.L.1304, No.315), known as the Local Health Administration Law, further providing for authorization of county departments of health; and repealing provisions relating to dissolution of and withdrawal from county departments of health....|Representative STURLA|MADDEN, HANBIDGE, SANCHEZ, D. WILLIAMS, FREEMAN and PROBST|Referred to HEALTH,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:28:13 GMT|20230HB679P622
House Bill 678 Printer's Number 621|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=678&pn=621|An Act authorizing counties to impose sales and use taxes; providing for the levying, assessment and collection of taxes and for the powers and duties of the Department of Community and Economic Development, the Department of Revenue and the State Treasurer; and establishing the County Sales and Use Tax Fund....|Representative STURLA|SIEGEL, SANCHEZ, D. WILLIAMS and NEILSON|Referred to LOCAL GOVERNMENT,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:27:58 GMT|20230HB678P621
House Bill 677 Printer's Number 620|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=677&pn=620|An Act amending the act of June 22, 1937 (P.L.1987, No.394), known as The Clean Streams Law, in scope and purpose, further providing for fences along streams....|Representative STURLA|MADDEN, KINSEY, SANCHEZ, HILL-EVANS, GUENST, D. WILLIAMS, GALLOWAY and NEILSON|Referred to ENVIRONMENTAL RESOURCES AND ENERGY,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:27:42 GMT|20230HB677P620
House Bill 676 Printer's Number 619|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=676&pn=619|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, providing for Affordability of College Education Scholarship Program....|Representative ROZZI|KINSEY, MADDEN, HILL-EVANS, SANCHEZ, PROBST, HOHENSTEIN, FIEDLER, KENYATTA, CIRESI, WARREN, KINKEAD, KRAJEWSKI, FLEMING and CONKLIN|Referred to EDUCATION,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:27:27 GMT|20230HB676P619
House Bill 675 Printer's Number 618|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=675&pn=618|An Act amending Titles 53 (Municipalities Generally) and 66 (Public Utilities) of the Pennsylvania Consolidated Statutes, in municipal authorities, providing for utility reconnection fees; and, in responsible utility customer protection, further providing for termination of utility service and for reconnection of service....|Representative RABB|BURGOS, CEPHAS, CEPEDA-FREYTIZ, KENYATTA, SANCHEZ, MADDEN, PARKER, GUENST, HOHENSTEIN, HILL-EVANS, CONKLIN, KRAJEWSKI, FRANKEL, KINKEAD, N. NELSON, KHAN, GREEN, MALAGARI and MAYES|Referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:27:10 GMT|20230HB675P618
House Bill 674 Printer's Number 617|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=674&pn=617|A Joint Resolution proposing an amendment to the Constitution of the Commonwealth of Pennsylvania, further providing for exemptions and special provisions....|Representative PROBST|MADDEN, FREEMAN, HANBIDGE, KINSEY, CEPEDA-FREYTIZ, GUENST, MARKOSEK, HILL-EVANS, T. DAVIS, SANCHEZ, McNEILL, DELLOSO, SHUSTERMAN, DEASY, GREEN, CONKLIN and BOYLE|Referred to FINANCE,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:26:53 GMT|20230HB674P617
House Bill 673 Printer's Number 616|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=673&pn=616|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in charter schools, further providing for applicability of other provisions of this act and of other acts and regulations relating to cyber charter schools....|Representative PROBST|SIEGEL, HILL-EVANS, HANBIDGE, SANCHEZ, HOHENSTEIN, MADDEN, KENYATTA, DELLOSO, CERRATO, CIRESI, KRAJEWSKI, KINKEAD, HADDOCK, STURLA and KHAN|Referred to EDUCATION,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:26:25 GMT|20230HB673P616
House Bill 672 Printer's Number 615|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=672&pn=615|An Act providing for the disclosure of information by professionals unlicensed by the Commonwealth; imposing duties on the Attorney General; and imposing a penalty....|Representative PROBST|SIEGEL, GIRAL, SANCHEZ, MADDEN and KINSEY|Referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:26:09 GMT|20230HB672P615
House Bill 671 Printer's Number 614|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=671&pn=614|An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in powers of department and local authorities, providing for municipal response database....|Representative PROBST|GIRAL, SANCHEZ, MADDEN, HILL-EVANS and BRENNAN|Referred to TRANSPORTATION,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:25:51 GMT|20230HB671P614
House Bill 670 Printer's Number 613|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=670&pn=613|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in school finances, further providing for fiscal year....|Representative PROBST|MADDEN, SIEGEL, FREEMAN, SANCHEZ, KENYATTA, HILL-EVANS, DELLOSO, FLEMING, GILLEN and FLICK|Referred to EDUCATION,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:25:34 GMT|20230HB670P613
House Bill 669 Printer's Number 612|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=669&pn=612|An Act amending Title 34 (Game) of the Pennsylvania Consolidated Statutes, in hunting and furtaking, further providing for unlawful devices and methods; and, in hunting and furtaking licenses, further providing for denial or revocation of licenses and for period of revocation....|Representative SHUSTERMAN|ISAACSON, McNEILL, MADDEN, SCHLOSSBERG, HOHENSTEIN, SANCHEZ, HOWARD, HILL-EVANS, PASHINSKI, SCHWEYER, NEILSON, CIRESI, OTTEN, CONKLIN, BOROWSKI and TAKAC|Referred to GAME AND FISHERIES,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:25:17 GMT|20230HB669P612
House Bill 668 Printer's Number 611|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=668&pn=611|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in fostering independence through education, further providing for definitions, for fostering independence waiver program, for outreach and for report....|Representative BENHAM|ORTITAY, PASHINSKI, WAXMAN, PROBST, HOWARD, SCHLOSSBERG, BURGOS, MADDEN, SANCHEZ, CERRATO, ROZZI, HANBIDGE, HILL-EVANS, PARKER, OTTEN and KRAJEWSKI|Referred to EDUCATION,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:24:56 GMT|20230HB668P611
House Bill 667 Printer's Number 610|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=667&pn=610|An Act amending the act of June 13, 1967 (P.L.31, No.21), known as the Human Services Code, in general powers and duties of the Department of Public Welfare, providing for Medically Tailored Meals Pilot Program and imposing duties on the Department of Human Services....|Representative BULLOCK|HARRIS, KENYATTA, KINSEY, SANCHEZ, HILL-EVANS, MADDEN, VENKAT, HOHENSTEIN, BURGOS, PROBST, PARKER, KINKEAD, N. NELSON, INNAMORATO, OTTEN and KHAN|Referred to HUMAN SERVICES,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:24:38 GMT|20230HB667P610
House Bill 666 Printer's Number 609|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=666&pn=609|An Act amending the act of May 28, 1937 (P.L.955, No.265), referred to as the Housing Authorities Law, further providing for organization of an authority....|Representative BULLOCK|HOHENSTEIN, KINSEY, SANCHEZ, MADDEN, KENYATTA and GREEN|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:24:20 GMT|20230HB666P609
House Bill 665 Printer's Number 608|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=665&pn=608|An Act amending the act of July 10, 1986 (P.L.1396, No.121), known as the Women's, Infants' and Children's Nutrition Improvement Act, further providing for program operation; and making an appropriation....|Representative BULLOCK|CEPEDA-FREYTIZ, HILL-EVANS, SANCHEZ, GIRAL, HANBIDGE, RABB, MADDEN, DELLOSO, PROBST, BURGOS, KINKEAD, PARKER, WAXMAN, INNAMORATO, OTTEN, KHAN, HOWARD and KRAJEWSKI|Referred to CHILDREN AND YOUTH,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:24:02 GMT|20230HB665P608
House Bill 664 Printer's Number 607|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=664&pn=607|An Act establishing the Women, Infants and Children State Advisory Board.|Representative BULLOCK|CEPEDA-FREYTIZ, HILL-EVANS, SANCHEZ, HANBIDGE, RABB, MADDEN, DELLOSO, BURGOS, KINKEAD, PARKER, INNAMORATO, OTTEN, KHAN, HOWARD and KRAJEWSKI|Referred to CHILDREN AND YOUTH,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:23:44 GMT|20230HB664P607
House Bill 180 Printer's Number 606|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=180&pn=606|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, providing for the Universal School Meal Program; establishing the Universal School Meal Fund; and making an interfund transfer and an appropriation....|Representative KINKEAD|ISAACSON, RABB, FIEDLER, PASHINSKI, PISCIOTTANO, BENHAM, MERSKI, BURGOS, CONKLIN, SCHLOSSBERG, SALISBURY, MADDEN, SANCHEZ, CEPEDA-FREYTIZ, DELLOSO, PROBST, SIEGEL, HILL-EVANS, KENYATTA, GUENST, KHAN, D. WILLIAMS, HOHENSTEIN, FRANKEL, HOWARD, BELLMON, CERRATO, DEASY, OTTEN, HANBIDGE, WAXMAN, PIELLI, KULIK, SHUSTERMAN, MALAGARI, GIRAL, KINSEY, KAZEEM, DONAHUE, ABNEY, BULLOCK, SMITH-WADE-EL, McNEILL, MARKOSEK, T. DAVIS, BRIGGS, WARREN, KRAJEWSKI and BOYLE|Referred to EDUCATION,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:23:30 GMT|20230HB180P606
House Bill 20 Printer's Number 605|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=20&pn=605|An Act providing for registration of extraordinary water users; imposing a water resource fee; establishing the Water Use Fund; and providing for submission of a question to the electorate authorizing incurring of indebtedness for water-related environmental initiatives....|Representative STURLA|MADDEN, KINSEY, PIELLI, SANCHEZ, HOHENSTEIN, D. WILLIAMS, KINKEAD, GALLOWAY, KRAJEWSKI, ISAACSON, MADSEN, HARKINS, TAKAC and OTTEN|Referred to ENVIRONMENTAL RESOURCES AND ENERGY,  March 23, 2023|NO|NO|NO|Thu, 23 Mar 2023 13:23:11 GMT|20230HB20P605
House Bill 663 Printer's Number 604|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=663&pn=604|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in pupils and attendance, further providing for residence and right to free school privileges....|Representative McNEILL|HOHENSTEIN, HILL-EVANS, MADDEN, IRVIN, SANCHEZ, KINSEY, KHAN, CEPEDA-FREYTIZ, HANBIDGE, KINKEAD, TAKAC and RADER|Referred to EDUCATION,  March 22, 2023|NO|NO|NO|Wed, 22 Mar 2023 14:14:42 GMT|20230HB663P604
House Bill 610 Printer's Number 574|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=610&pn=574|An Act amending Title 54 (Names) of the Pennsylvania Consolidated Statutes, in judicial change of name, further providing for court approval required for change of name....|Representative SANCHEZ|GUENST, SAPPEY, MADDEN, HOWARD, SCHLOSSBERG, BURGOS, KINSEY, HOHENSTEIN, HILL-EVANS, FREEMAN, FRANKEL, OTTEN, CERRATO and N. NELSON|Referred to JUDICIARY,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:33:53 GMT|20230HB610P574
House Bill 609 Printer's Number 573|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=609&pn=573|An Act amending the act of June 29, 1953 (P.L.304, No.66), known as the Vital Statistics Law of 1953, in birth registration, providing for certain information prohibited related to birth registration....|Representative SANCHEZ|WEBSTER, MADDEN, GUENST, HILL-EVANS, OTTEN and KHAN|Referred to HEALTH,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:33:22 GMT|20230HB609P573
House Bill 608 Printer's Number 572|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=608&pn=572|An Act protecting workers from training repayment agreement provisions; conferring powers and imposing duties on the Department of Labor and Industry; and imposing penalties....|Representative KHAN|BULLOCK, INNAMORATO, GREEN, SIEGEL, HADDOCK, MUNROE, WAXMAN, HOWARD, RABB, KAZEEM, MADDEN, SANCHEZ, HILL-EVANS, DELLOSO, PARKER, KINSEY, McNEILL, TAKAC, OTTEN, SMITH-WADE-EL, CEPEDA-FREYTIZ, WARREN and CONKLIN|Referred to LABOR AND INDUSTRY,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:33:05 GMT|20230HB608P572
House Bill 607 Printer's Number 571|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=607&pn=571|An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in riot, disorderly conduct and related offenses, providing for concurrent jurisdiction to prosecute....|Representative ISAACSON|SCHLOSSBERG, FREEMAN, CIRESI, FLEMING, GIRAL, HILL-EVANS, HOWARD, MADDEN, McNEILL, PROBST, SANCHEZ and WEBSTER|Referred to JUDICIARY,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:32:43 GMT|20230HB607P571
House Bill 606 Printer's Number 570|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=606&pn=570|An Act amending Title 27 (Environmental Resources) of the Pennsylvania Consolidated Statutes, providing for lead abatement assistance; establishing the Lead Abatement Grant Program and the Lead Abatement Assistance Fund; and imposing an architectural paint surcharge....|Representative ISAACSON|STRUZZI, FREEMAN, SCHLOSSBERG, NEILSON, SAMUELSON, HARKINS, BURGOS, CIRESI, FIEDLER, HILL-EVANS, HOHENSTEIN, HOWARD, KINSEY, MADDEN, OTTEN and SANCHEZ|Referred to ENVIRONMENTAL RESOURCES AND ENERGY,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:32:25 GMT|20230HB606P570
House Bill 605 Printer's Number 569|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=605&pn=569|An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, providing for public health; imposing duties on the Department of Environmental Protection relating to lead levels in soil; and imposing penalties....|Representative ISAACSON|SCHLOSSBERG, SAMUELSON, GALLOWAY, CIRESI, FLEMING, GIRAL, HOHENSTEIN, HOWARD, KRAJEWSKI, MADDEN, OTTEN and SANCHEZ|Referred to ENVIRONMENTAL RESOURCES AND ENERGY,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:31:53 GMT|20230HB605P569
House Bill 604 Printer's Number 568|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=604&pn=568|An Act amending the act of May 1, 1984 (P.L.206, No.43), known as the Pennsylvania Safe Drinking Water Act, providing for maximum contaminant levels....|Representative ISAACSON|FRANKEL, CIRESI, FLEMING, HILL-EVANS, KRAJEWSKI, MADDEN, OTTEN, SANCHEZ and D. WILLIAMS|Referred to ENVIRONMENTAL RESOURCES AND ENERGY,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:31:30 GMT|20230HB604P568
House Bill 603 Printer's Number 567|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=603&pn=567|An Act amending the act of October 18, 1988 (P.L.756, No.108), known as the Hazardous Sites Cleanup Act, in preliminary provisions, further providing for definitions and providing for disaster emergency declaration and for testing requirement, duty to report and public access; in powers and duties, further providing for powers and duties of department; and, in liability and settlement procedures, further providing for responsible person....|Representative ISAACSON|FRANKEL, CIRESI, GIRAL, KINSEY, KRAJEWSKI, MADDEN, OTTEN and SANCHEZ|Referred to ENVIRONMENTAL RESOURCES AND ENERGY,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:31:13 GMT|20230HB603P567
House Bill 602 Printer's Number 566|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=602&pn=566|An Act amending the act of April 14, 1972 (P.L.233, No.64), known as The Controlled Substance, Drug, Device and Cosmetic Act, providing for reporting requirements of interactive computer service providers; and imposing penalties....|Representative M. BROWN|N. NELSON|Referred to JUDICIARY,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:30:54 GMT|20230HB602P566
House Bill 601 Printer's Number 565|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=601&pn=565|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in school health services, providing for possession and use of opioid antagonists....|Representative BOYLE|HOHENSTEIN, PROBST, KINSEY, SCHLOSSBERG, KENYATTA, SANCHEZ, T. DAVIS, STRUZZI, HILL-EVANS, KRAJEWSKI, CIRESI, FREEMAN and N. NELSON|Referred to HEALTH,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:30:33 GMT|20230HB601P565
House Bill 636 Printer's Number 575|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=636&pn=575|An Act amending the act of December 17, 1968 (P.L.1224, No.387), known as the Unfair Trade Practices and Consumer Protection Law, further providing for definitions and for unlawful acts or practices and exclusions....|Representative PISCIOTTANO|VENKAT, MARKOSEK, STEHR, SCHLOSSBERG, KINSEY, SIEGEL, HILL-EVANS, KHAN, CIRESI, TAKAC, GERGELY, PARKER, MALAGARI and CONKLIN|Referred to CONSUMER PROTECTION, TECHNOLOGY AND UTILITIES,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:30:07 GMT|20230HB636P575
House Bill 637 Printer's Number 576|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=637&pn=576|An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in general provisions relating to offenses involving danger to the person, further providing for definitions....|Representative SANCHEZ|SCHLOSSBERG, HILL-EVANS, MADDEN, BURGOS, BENHAM, CIRESI, HOHENSTEIN, GUENST, HANBIDGE, D. WILLIAMS, FLEMING, STURLA, KINSEY, KINKEAD, OTTEN, KRAJEWSKI, CERRATO, N. NELSON and MALAGARI|Referred to JUDICIARY,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:29:45 GMT|20230HB637P576
House Bill 638 Printer's Number 577|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=638&pn=577|An Act amending Title 54 (Names) of the Pennsylvania Consolidated Statutes, establishing the Compassionate Name Change Assistance Grant Program and the Compassionate Name Change Assistance Grant Fund; and making an interfund transfer....|Representative SANCHEZ|SHUSTERMAN, SIEGEL, HOHENSTEIN, MADDEN, RABB, HILL-EVANS, GUENST, KRAJEWSKI, KINSEY, KINKEAD, OTTEN and N. NELSON|Referred to JUDICIARY,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:29:28 GMT|20230HB638P577
House Bill 639 Printer's Number 578|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=639&pn=578|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in terms and courses of study, providing for litterbug education....|Representative M. MACKENZIE|R. MACKENZIE, JAMES, CIRESI, ROWE, STRUZZI, LEADBETER, KHAN and SMITH|Referred to EDUCATION,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:29:08 GMT|20230HB639P578
House Bill 640 Printer's Number 579|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=640&pn=579|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in professional employees, providing for professional librarian....|Representative CIRESI|R. MACKENZIE, GUENST, WAXMAN, RABB, FREEMAN, ISAACSON, M. MACKENZIE, JAMES, KHAN, HANBIDGE, BURGOS, PROBST, KINSEY, MADDEN, SANCHEZ, DELLOSO, SHUSTERMAN, WARREN, N. NELSON, NEILSON, OTTEN, GREEN and MALAGARI|Referred to EDUCATION,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:28:47 GMT|20230HB640P579
House Bill 641 Printer's Number 580|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=641&pn=580|An Act providing for the protection of patients and medical personnel from health care facility retaliation, for prohibitions, for rebuttable presumptions, for discriminatory treatment, for evidence, for civil penalties and remedies, for criminal penalty, for restitution and damages, for injunctive relief, for peer review activity and for exemption....|Representative CIRESI|SANCHEZ, MADDEN, HILL-EVANS, KINKEAD, ROZZI, KEEFER, N. NELSON, CERRATO, D. WILLIAMS and KINSEY|Referred to HEALTH,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:28:26 GMT|20230HB641P580
House Bill 642 Printer's Number 581|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=642&pn=581|An Act amending Title 4 (Amusements) of the Pennsylvania Consolidated Statutes, in revenues, further providing for transfers from State Gaming Fund....|Representative PISCIOTTANO|ORTITAY, McANDREW, SAPPEY, HILL-EVANS, SCHLOSSBERG, KULIK, STEELE, McNEILL, TAKAC and MALAGARI|Referred to GAMING OVERSIGHT,  March 21, 2023|NO|NO|NO|Tue, 21 Mar 2023 15:28:02 GMT|20230HB642P581
